"species","treatment","germination"
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,1
"BG",0,0
"BG",0,0
"BG",0,0
"BG",0,0
"BG",0,0
"BG",0,0
"BG",0,0
"BG",0,0
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,1
"SG",0,0
"SG",0,0
"SG",0,0
"SG",0,0
"SG",0,0
"SG",0,0
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,1
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"LB",0,0
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,1
"BM",0,0
"BM",0,0
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,1
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"BG",8,0
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
"SG",8,1
